headers=17
lattice=1
N=1024
D=2
maxAttachments=4
folded=1
phi=0.062500
iters=32262
alpha=-0.500000
x0_lo=-0.500000
x0_hi=127.500000
x1_lo=-0.500000
x1_hi=127.500000
x0_periodic=1
x1_periodic=1
seedMass=1.000000
columns=11
id,x0,x1,assignedSeedStatus,currentSeedStatus,diameter,attachments,att_1,att_2,att_3,att_4
184,123,88,0,1,1.000000,2,772,280,NaN,NaN
185,109,47,0,1,1.000000,4,983,500,809,415
186,42,80,0,1,1.000000,2,775,735,NaN,NaN
187,78,124,0,1,1.000000,3,326,771,161,NaN
188,86,14,0,1,1.000000,2,363,992,NaN,NaN
189,84,104,0,1,1.000000,2,1,620,NaN,NaN
190,111,109,0,1,1.000000,2,1012,922,NaN,NaN
191,109,113,0,1,1.000000,2,536,327,NaN,NaN
192,84,10,0,1,1.000000,2,944,810,NaN,NaN
193,101,83,0,1,1.000000,2,804,230,NaN,NaN
194,81,104,0,1,1.000000,2,237,788,NaN,NaN
195,2,111,0,1,1.000000,3,756,686,119,NaN
196,65,75,0,1,1.000000,2,790,914,NaN,NaN
197,83,120,0,1,1.000000,2,499,1016,NaN,NaN
198,91,111,0,1,1.000000,2,12,895,NaN,NaN
199,87,9,0,1,1.000000,3,816,129,214,NaN
200,108,55,0,1,1.000000,2,67,427,NaN,NaN
201,111,70,0,1,1.000000,2,624,652,NaN,NaN
202,96,88,0,1,1.000000,2,424,412,NaN,NaN
203,88,112,0,1,1.000000,2,755,30,NaN,NaN
204,86,11,0,1,1.000000,2,1005,787,NaN,NaN
205,92,110,0,1,1.000000,3,367,994,895,NaN
206,62,91,0,1,1.000000,2,764,847,NaN,NaN
207,98,68,0,1,1.000000,2,961,83,NaN,NaN
208,77,8,0,1,1.000000,1,791,NaN,NaN,NaN
209,83,113,0,1,1.000000,1,693,NaN,NaN,NaN
210,100,92,0,1,1.000000,2,996,663,NaN,NaN
211,1,117,0,1,1.000000,1,335,NaN,NaN,NaN
212,111,52,0,1,1.000000,1,970,NaN,NaN,NaN
213,83,81,0,1,1.000000,2,807,487,NaN,NaN
214,86,9,0,1,1.000000,3,869,21,199,NaN
215,98,87,0,1,1.000000,2,43,36,NaN,NaN
